No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
50,0.00352484923204069,133237,132677,133014,0,10.8,2.2,13848,13766,13823,9.1,94.2,94.3,119.82,-120.36,-0.01,119.92,-120.34,1
51,0.00265572530546595,133195,132792,132849,3.9,7.7,4.1,13845,13787,13795,9.2,101.2,101.3,120.07,-120.11,0.05,120.15,-120.11,0
51,1.53652154852374e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0.1,0.1,120,-120,0,120,-120,0
52,0.000408464526588882,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
52,0.00380231107347865,133258,132648,133006,0,11.5,2.2,13850,13761,13823,9.2,101,101.1,119.81,-120.39,-0.01,119.91,-120.37,1
53,0.00448960501620573,133262,132588,132667,6,12.2,6.4,13855,13757,13768,9.3,164.2,166.6,120.13,-120.19,0.07,120.25,-120.19,0
53,1.79357665418235e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
54,0.000407469099723244,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
54,0.00635885920520574,133480,132387,132918,0,18,2.2,13873,13722,13813,9.3,163.8,166.2,119.75,-120.61,-0.01,119.92,-120.58,1
55,0.00458187140393283,133263,132575,132657,6.1,12.4,6.5,13855,13755,13767,10,168.2,170.5,120.13,-120.19,0.07,120.26,-120.2,0
55,1.79077150818696e-05,133125,133123,133124,0.7,0.7,0.7,13835,13835,13835,0,0.2,0.2,120,-120,0,120,-120,0
56,0.000407505058245147,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0.2,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
56,0.00649629081075388,133483,132368,132914,0,18.4,2.3,13874,13719,13812,10,167.7,170,119.74,-120.62,-0.01,119.92,-120.6,1
