No,vuf,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
6457,7.49205240318781e-05,133117,133126,133114,0.8,0.8,0.9,13834,13835,13833,3.2,0.4,3.2,120,-120,0,120.01,-119.99,0
6458,0.000441910653808473,133002,133093,133119,0,1.3,1.6,13824,13829,13834,3.2,0.4,3.2,119.96,-120.02,-0.01,119.96,-120.01,1
6458,0.124275175268425,106708,131647,119002,0,43.8,312.3,11091,13557,11793,2996.1,411,3090.2,123.63,-111.33,-0.01,123.9,-107.42,1
6459,0.0797560592267151,124918,133647,121964,105.9,112.4,212,12642,13930,12254,3029.1,491.8,3093,123.83,-114.46,-0.03,125.31,-112,0
6459,8.34681611350292e-05,133116,133126,133113,0.8,0.8,1,13833,13835,13833,3.5,0.4,3.5,120,-119.99,0,120.01,-119.99,0
6460,0.000445677800334878,133000,133093,133118,0,1.3,1.6,13823,13829,13834,3.5,0.4,3.5,119.96,-120.02,-0.01,119.96,-120.01,1
6460,0.1177675542135,107366,131400,119504,0,48.3,303.3,11159,13520,11868,2910.1,453.9,3017.6,123.18,-111.97,-0.01,123.48,-108.17,1
6461,0.0286989234558241,128918,129726,133234,85.6,44.7,46,13231,13341,13855,1241.3,1226.8,276.8,117.99,-120.71,0.94,118.09,-120.1,0
6461,2.03135005003884e-05,133122,133121,133124,0.8,0.7,0.7,13834,13834,13835,1.1,1.1,0.3,120,-120,0,120,-120,0
6462,0.000475627763337768,133020,133087,133133,0,1.3,1.3,13825,13828,13836,1.1,1.1,0.3,119.95,-120.03,-0.01,119.95,-120.02,1
6462,0.0756128964085096,119352,126555,133945,0,119.7,123.1,12405,12771,14009,1174.5,1141.5,276.9,112.62,-124.14,-0.01,112.39,-122.56,1
6463,0.026925024149445,129206,129954,133260,80,41.7,42.9,13272,13374,13858,1158.7,1145.9,251.8,118.11,-120.67,0.87,118.2,-120.1,0
6463,2.48014259007914e-05,133121,133120,133124,0.8,0.7,0.7,13834,13834,13835,1.3,1.3,0.3,120,-120,0,120,-120,0
6464,0.000487085413860259,133018,133086,133134,0,1.4,1.3,13825,13828,13836,1.3,1.3,0.3,119.95,-120.03,-0.01,119.95,-120.02,1
6464,0.0708738823806841,120254,126952,133959,0,112.4,115.4,12499,12835,14007,1100.4,1071.7,251.9,113.08,-123.9,-0.01,112.88,-122.42,1
6465,0.0263219091198054,128941,129778,132931,84.4,44.8,47.6,13234,13349,13811,1236.1,1205.8,352.5,118.17,-120.61,0.92,118.32,-119.98,0
6465,2.29098714362174e-05,133121,133120,133124,0.8,0.8,0.7,13834,13834,13835,1.3,1.3,0.4,120,-120,0,120,-120,0
6466,0.000485789029797962,133018,133086,133133,0,1.4,1.4,13825,13828,13836,1.3,1.3,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6466,0.0726059498003848,119425,126647,133615,0,117.5,123,12413,12786,13960,1173.8,1121,353.2,112.9,-123.96,-0.01,112.73,-122.36,1
6467,0.0226582506166986,129495,130199,132937,73.7,39.4,41.8,13313,13410,13811,1078.4,1053.1,316.2,118.42,-120.53,0.8,118.56,-119.98,0
6467,1.94157149052347e-05,133122,133121,133124,0.8,0.7,0.7,13834,13834,13835,1.1,1.1,0.3,120,-120,0,120,-120,0
6468,0.00047475385967546,133020,133087,133133,0,1.3,1.3,13825,13828,13836,1.1,1.1,0.3,119.95,-120.03,-0.01,119.95,-120.02,1
6468,0.0632605225297981,121163,127399,133596,0,103.8,108.3,12593,12908,13950,1031.6,988.3,316.8,113.8,-123.49,-0.01,113.68,-122.08,1
6469,0.0209465396325898,129024,130169,132327,78.7,42.1,51.9,13245,13406,13724,1206.8,1096.8,490.8,118.6,-120.27,0.82,118.84,-119.59,0
6469,1.87484225117324e-05,133121,133121,133124,0.8,0.8,0.8,13834,13834,13835,1.3,1.2,0.5,120,-120,0,120,-120,0
6470,0.000482569967260494,133017,133086,133133,0,1.4,1.4,13825,13828,13836,1.3,1.2,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6470,0.0643020166311272,119679,127239,132856,0,107.2,121.2,12439,12880,13844,1156.1,1021,493.9,113.81,-123.22,-0.01,113.73,-121.61,1
6471,0.0210675222519172,129132,130218,132444,77.2,40.9,49.8,13261,13413,13740,1175,1076.7,455.1,118.58,-120.3,0.81,118.8,-119.65,0
6471,1.73883000824671e-05,133121,133121,133123,0.8,0.8,0.8,13834,13834,13835,1.3,1.2,0.5,120,-120,0,120,-120,0
6472,0.000479722777849855,133017,133087,133133,0,1.4,1.4,13825,13828,13836,1.3,1.2,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6472,0.0635728321301599,120018,127335,132986,0,105.4,118.1,12474,12895,13862,1125.8,1004.3,457.9,113.87,-123.22,-0.01,113.78,-121.66,1
6473,0.0189810453678185,127710,130686,129599,86.7,55.9,94,13053,13484,13334,1643.9,1062,1222.5,119.81,-118.96,0.74,120.44,-117.81,0
6473,9.92514613603039e-06,133120,133122,133121,0.8,0.8,0.8,13834,13834,13834,1.7,1.1,1.3,120,-120,0,120,-120,0
6474,0.000467715117888224,133013,133088,133129,0,1.3,1.4,13825,13828,13836,1.7,1.1,1.3,119.95,-120.03,-0.01,119.95,-120.02,1
6474,0.0614157664097998,115583,127692,129464,0,101.9,166.4,12013,12945,13348,1589.8,970,1229.1,115.35,-121.13,-0.01,115.46,-118.89,1
6475,0.0198514757871352,127669,130795,129567,86.4,54.9,95,13047,13500,13329,1654.1,1039.1,1230.6,119.84,-118.88,0.72,120.47,-117.72,0
6475,7.39450130849531e-06,133120,133121,133121,0.8,0.8,0.8,13834,13834,13834,1.8,1.2,1.2,120,-120,0,120,-120,0
6476,0.000476126076108275,133013,133087,133130,0,1.4,1.4,13825,13828,13836,1.8,1.2,1.2,119.95,-120.03,-0.01,119.95,-120.02,1
6476,0.0617555954266211,115458,127831,129380,0,99.7,167.4,12000,12966,13334,1599.4,949,1236.6,115.48,-120.96,-0.01,115.56,-118.71,1
6477,0.0705975170519401,124125,131644,121360,118.7,129.3,222.5,12529,13645,12170,3187.8,1050.3,3300,123.44,-115.15,0.39,125.17,-112.56,0
6477,6.29320060703283e-05,133116,133123,133113,0.8,0.8,0.9,13833,13835,13833,3.4,1.1,3.4,120,-120,0,120.01,-119.99,0
6478,0.000457155192685361,133000,133088,133120,0,1.3,1.6,13823,13828,13834,3.4,1.1,3.4,119.95,-120.02,-0.01,119.95,-120.01,1
6478,0.105322938504231,104988,128497,119390,0,99.6,319.3,10912,13068,11890,3062.8,948.3,3262.2,120.75,-114.41,-0.01,121.37,-110.22,1
6479,0.0651523430369992,124313,131345,121865,117.7,126.6,214.5,12557,13600,12240,3088.2,1116.1,3184.6,123.14,-115.52,0.47,124.84,-113.02,0
6479,5.69502542674659e-05,133116,133123,133114,0.8,0.8,0.9,13833,13834,13833,3.2,1.2,3.2,120,-120,0,120,-119.99,0
6480,0.000456387281770114,133002,133088,133121,0,1.4,1.6,13824,13828,13834,3.2,1.2,3.2,119.95,-120.02,-0.01,119.95,-120.01,1
6480,0.0988446420428464,105506,128113,120084,0,105.5,309.8,10966,13009,11994,2971.3,1005.3,3156.9,120.05,-115.22,-0.01,120.68,-111.15,1
6481,0.0790332341573348,122630,125417,134233,200.9,99.9,103.7,12347,12715,14012,2912.2,2875.5,310.6,114.49,-121.76,2.32,114.35,-120.42,0
6481,7.91303557220943e-05,133115,133115,133126,0.9,0.8,0.8,13833,13833,13835,3.2,3.2,0.3,119.99,-120,0,119.99,-120,0
6482,0.000619956808080012,132996,133075,133138,0,1.6,1.5,13823,13826,13837,3.2,3.2,0.3,119.94,-120.04,-0.01,119.93,-120.03,1
6482,0.18337086525697,101248,119977,134368,0,253.2,261.4,10523,11710,14143,2506.7,2428.6,310.6,102.6,-129.05,-0.01,101.18,-125.7,1
6483,0.0793082286193108,122544,125351,134183,202.4,100.7,104.7,12335,12705,14005,2935.3,2896.6,327.5,114.47,-121.76,2.34,114.34,-120.4,0
6483,9.0090900833881e-05,133113,133114,133127,1,0.8,0.8,13833,13833,13835,3.6,3.6,0.3,119.99,-120,0,119.99,-120,0
6484,0.000646890297930151,132992,133073,133139,0,1.6,1.6,13823,13826,13837,3.6,3.6,0.3,119.93,-120.04,-0.01,119.93,-120.03,1
6484,0.184347849496009,101022,119894,134304,0,254.6,263.3,10500,11697,14135,2524.7,2442.1,327.5,102.5,-129.09,-0.01,101.09,-125.71,1
6485,0.0899690006271179,121129,124463,134257,226.6,112.4,117.3,12138,12576,14020,3289.8,3242.6,353.6,113.74,-121.94,2.65,113.56,-120.42,0
6485,7.65343130682924e-05,133115,133115,133126,0.9,0.8,0.8,13833,13833,13835,3.2,3.2,0.3,119.99,-120,0,119.99,-120,0
6486,0.000614301186184475,132997,133075,133138,0,1.5,1.5,13823,13826,13837,3.2,3.2,0.3,119.94,-120.04,-0.01,119.93,-120.03,1
6486,0.206134411355532,97375,118812,134112,0,278.8,289.2,10121,11525,14123,2774,2675.8,353.6,100.54,-129.99,-0.01,98.82,-126.26,1
6487,0.078425920020438,122659,125429,134175,200.3,99.7,103.6,12351,12716,14004,2906,2867.2,325.4,114.53,-121.74,2.31,114.41,-120.4,0
6487,8.09612943945065e-05,133114,133115,133126,0.9,0.8,0.8,13833,13833,13835,3.3,3.3,0.3,119.99,-120,0,119.99,-120,0
6488,0.000625657621604449,132995,133074,133138,0,1.6,1.5,13823,13826,13837,3.3,3.3,0.3,119.94,-120.04,-0.01,119.93,-120.03,1
6488,0.182521318423883,101323,119993,134315,0,252.5,261.1,10531,11712,14136,2503.6,2421.7,325.4,102.67,-129.01,-0.01,101.28,-125.66,1
6489,0.0816966007775339,121737,124777,133693,216,107.7,114.3,12222,12622,13937,3149.2,3085,486.7,114.33,-121.74,2.51,114.28,-120.24,0
6489,8.36494122035467e-05,133114,133114,133126,1,0.8,0.8,13833,13833,13835,3.6,3.6,0.5,119.99,-120,0,119.99,-120,0
6490,0.000637596432523468,132992,133073,133138,0,1.6,1.6,13823,13826,13837,3.6,3.6,0.5,119.93,-120.04,-0.01,119.93,-120.03,1
6490,0.193077463282993,98918,119183,133671,0,266.8,280.6,10281,11583,14054,2691.2,2559.9,487.1,101.69,-129.45,-0.01,100.23,-125.81,1
6491,0.0742856065826085,122762,125417,133672,198.5,99.5,104.8,12365,12715,13931,2890.5,2837.7,457.6,114.83,-121.63,2.29,114.82,-120.25,0
6491,7.15730948454602e-05,133115,133115,133126,0.9,0.8,0.8,13833,13833,13835,3.2,3.2,0.5,120,-120,0,120,-120,0
6492,0.000609177878948025,132997,133075,133137,0,1.5,1.5,13823,13826,13837,3.2,3.2,0.5,119.94,-120.04,-0.01,119.93,-120.02,1
6492,0.177536676619616,101594,119984,133840,0,249.4,261.3,10559,11711,14068,2504.9,2392.1,457.8,103.08,-128.82,-0.01,101.83,-125.44,1
6493,0.0556317746055103,122964,124996,131096,195.4,110.7,118.4,12393,12656,13561,2910.6,2825.5,1142.5,116.17,-121.16,2.25,116.71,-119.58,0
6493,6.89438829060285e-05,133113,133113,133123,1,0.8,0.8,13833,13833,13835,3.8,3.8,1.2,120,-120,0,120,-120,0
6494,0.000628348989677383,132991,133072,133135,0,1.6,1.6,13822,13826,13837,3.8,3.8,1.2,119.93,-120.04,-0.01,119.93,-120.03,1
6494,0.157532417486025,102137,119513,131367,0,245.6,269.9,10616,11639,13718,2587.1,2355.1,1141.9,104.61,-128.24,-0.01,104.04,-124.61,1
6495,0.0624455325794148,121986,124233,131039,213.2,120,127.4,12258,12546,13556,3166.9,3085.3,1196.9,115.7,-121.32,2.49,116.24,-119.62,0
6495,6.00180748123011e-05,133114,133114,133123,0.9,0.8,0.8,13833,13833,13834,3.5,3.5,1.3,120,-120,0,120,-120,0
6496,0.000609760609484824,132993,133073,133135,0,1.6,1.6,13823,13826,13837,3.5,3.5,1.3,119.94,-120.04,-0.01,119.93,-120.02,1
6496,0.172596865467357,99587,118557,131169,0,263.7,289.6,10351,11486,13703,2777.2,2529.5,1194.9,103.18,-128.97,-0.01,102.45,-125.07,1
6497,0.00651887794936257,121826,121438,122384,219.6,214.3,207.4,12238,12176,12314,3545.6,3657.6,3454.5,119.59,-120.36,2.6,122.02,-117.94,0
6497,1.47842016877952e-05,133113,133114,133112,0.9,0.9,1,13833,13833,13833,4.2,3.8,4.3,120,-120,0,120,-120,0
6498,0.000536840660698894,132991,133073,133123,0,1.6,1.7,13822,13826,13835,4.2,3.8,4.3,119.94,-120.04,-0.01,119.94,-120.02,1
6498,0.11813821570231,99238,115403,122748,0,312.5,346.1,10314,11032,12526,3320.2,2998.6,3446.3,106.76,-128.17,-0.01,108.22,-123.23,1
6499,0.00846585930773891,122719,122066,123313,206.7,201.6,190.9,12364,12262,12443,3289.8,3462.5,3201.7,119.5,-120.51,2.45,121.75,-118.3,0
6499,1.78120400508198e-05,133115,133113,133114,0.9,0.9,0.9,13833,13833,13833,3.6,3.7,3.7,120,-120,0,120,-120,0
6500,0.000529706702101867,132998,133073,133125,0,1.6,1.6,13823,13826,13835,3.6,3.7,3.7,119.94,-120.04,-0.01,119.94,-120.02,1
6500,0.112776270138666,101599,116181,123886,0,299.4,322.8,10560,11154,12676,3095.4,2871.8,3189.4,107.22,-128.09,-0.01,108.62,-123.51,1
6501,1.18649551368999e-05,132027,132026,132026,23.6,23.6,23.7,13676,13676,13676,382.5,382.5,382.5,120,-120,0.25,120.25,-119.75,0
6501,1.25290295993254e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6502,0.000422507676188731,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6502,0.0132761167009932,129368,131030,132351,0,40.1,40.8,13446,13499,13738,381,374.3,382.5,118.49,-121.01,-0.01,118.69,-120.47,1
6503,1.25331546960977e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6503,1.72468959723548e-05,132086,132084,132084,22.5,22.5,22.5,13685,13684,13684,362.5,362.6,362.7,120,-120,0.23,120.23,-119.77,0
6504,0.000424106038507154,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6504,0.0126059432517378,129561,131136,132394,0,38.1,38.7,13466,13516,13743,361.2,355.2,362.7,118.56,-120.96,-0.01,118.75,-120.45,1
6505,0.000120992279808875,131951,131948,131933,25.2,25.4,25.4,13665,13665,13663,409.8,409.7,413.2,120.01,-120,0.26,120.28,-119.73,0
6505,1.25994137124623e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13835,0.4,0.4,0.4,120,-120,0,120,-120,0
6506,0.000421807266638234,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6506,0.0140341194526138,129115,130888,132276,0,42.8,43.6,13420,13477,13728,408.2,400.4,413.2,118.4,-121.07,-0.01,118.61,-120.49,1
6507,0.000115187251769871,131868,131866,131851,26.9,27.1,27.1,13653,13653,13651,438.2,437.8,441.2,120.01,-120,0.28,120.29,-119.71,0
6507,1.25796929758105e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6508,0.000423950703560232,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6508,0.0149825703212755,128841,130739,132213,0,45.6,46.6,13391,13453,13720,436.3,427.1,441.3,118.29,-121.14,-0.01,118.52,-120.52,1
6509,0.000182835627334408,131794,131791,131767,28.4,28.7,28.8,13643,13642,13639,464.1,463.9,469.3,120.01,-120,0.3,120.32,-119.69,0
6509,1.26437173732896e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6510,0.000422043549630258,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6510,0.0157572062908762,128597,130603,132146,0,48.1,49.2,13366,13431,13711,462,452,469.3,118.2,-121.2,-0.01,118.44,-120.55,1
6511,0.000168716063441586,131820,131811,131794,28,28.3,28.2,13646,13645,13643,455.3,456.3,460.6,120.01,-120,0.29,120.31,-119.7,0
6511,1.26050844029947e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6512,0.000422677931959142,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6512,0.0155082096085396,128683,130642,132169,0,47.4,48.3,13375,13437,13714,453.3,444.8,460.6,118.22,-121.18,-0.01,118.47,-120.55,1
6513,0.000188099025775633,131892,131880,131862,26.5,26.9,26.8,13657,13655,13652,431.1,432.5,437.1,120.01,-120,0.28,120.3,-119.72,0
6513,1.25971329532427e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.5,0.5,0.5,120,-120,0,120,-120,0
6514,0.000424510538226703,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.5,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6514,0.014685880694557,128919,130769,132222,0,45.1,45.8,13399,13458,13721,429.3,422.2,437,118.32,-121.12,-0.01,118.55,-120.52,1
6515,0.00018412986902003,132079,132071,132050,22.6,22.9,22.9,13684,13683,13680,366.6,367.3,372.2,120.01,-120,0.24,120.25,-119.76,0
6515,1.26261520372879e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13835,0.4,0.4,0.4,120,-120,0,120,-120,0
6516,0.000421053024609537,133028,133092,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6516,0.0125221803485019,129539,131117,132363,0,38.6,39.2,13464,13513,13739,365.3,359.7,372.2,118.56,-120.96,-0.01,118.76,-120.45,1
6517,0.000175807765078716,131782,131773,131754,28.7,29.1,29,13641,13640,13637,468.5,469.3,473.9,120.01,-120,0.3,120.32,-119.69,0
6517,1.26482824277642e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6518,0.000422248433871991,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6518,0.015933198543282,128556,130573,132138,0,48.7,49.7,13362,13426,13710,466.4,457.2,473.9,118.18,-121.21,-0.01,118.42,-120.56,1
6519,0.000180895276038392,131973,131964,131945,24.8,25.1,25.1,13668,13667,13664,402.9,403.9,408.5,120.01,-120,0.26,120.28,-119.74,0
6519,1.26514911937666e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6520,0.00042167908234202,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6520,0.0137449068783149,129189,130921,132285,0,42.2,42.9,13427,13482,13729,401.3,394.8,408.5,118.42,-121.05,-0.01,118.64,-120.49,1
6521,0.000122607402122635,131894,131876,131893,26.6,26.6,26.4,13657,13654,13657,428.8,432.5,429.3,120,-120.01,0.28,120.27,-119.73,0
6521,1.25703243215416e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13835,0.4,0.4,0.4,120,-120,0,120,-120,0
6522,0.000421704073832394,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6522,0.014937653162994,128926,130762,132257,0,45,45.6,13400,13456,13726,426.9,422.1,429.2,118.29,-121.14,-0.01,118.52,-120.54,1
6523,0.000114648143648257,131842,131827,131844,27.6,27.6,27.4,13649,13647,13650,446.4,449.7,446.3,120,-120.01,0.29,120.28,-119.72,0
6523,1.25714782296746e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.5,0.5,0.5,120,-120,0,120,-120,0
6524,0.00042497145539312,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.5,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6524,0.0155337606232102,128754,130671,132219,0,46.7,47.4,13382,13442,13721,444.4,438.4,446.3,118.23,-121.18,-0.01,118.46,-120.56,1
6525,0.000384767446553441,132090,132033,132042,22.8,23.5,22.8,13685,13677,13678,365.2,376.7,376.5,120.01,-120.02,0.24,120.26,-119.78,0
6525,1.29343008145424e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6526,0.000422158408803084,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6526,0.0126429388985661,129576,131066,132373,0,39.5,39,13467,13505,13741,364,368.9,376.3,118.54,-121.01,-0.01,118.74,-120.5,1
6527,0.000443756185873676,132027,131961,131971,24.2,25,24.2,13676,13667,13668,387.7,400.9,400.7,120.01,-120.02,0.26,120.27,-119.77,0
6527,1.28926761499005e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6528,0.000422731611517042,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6528,0.0133796400516524,129366,130938,132321,0,41.9,41.4,13446,13485,13734,386.3,392.2,400.6,118.45,-121.07,-0.01,118.67,-120.53,1
6529,0.000788922055865757,131872,131760,131764,27.8,29.3,28,13654,13638,13638,445.2,467.3,470,120.03,-120.03,0.3,120.34,-119.74,0
6529,1.33595157727799e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6530,0.00042123356604042,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6530,0.0151233380333849,128853,130592,132168,0,48.5,47.3,13392,13430,13715,443.5,455.8,469.7,118.23,-121.25,-0.01,118.49,-120.62,1
6531,0.000816899980609967,132049,131933,131936,24.2,25.7,24.4,13679,13663,13663,384.9,407.9,410.8,120.03,-120.03,0.26,120.3,-119.78,0
6531,1.3229544647192e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.5,0.5,0.5,120,-120,0,120,-120,0
6532,0.000424450523056895,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.5,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6532,0.013114438016249,129438,130909,132300,0,42.7,41.1,13453,13481,13732,383.8,399.2,410.5,118.46,-121.1,-0.01,118.69,-120.56,1
6533,0.000887712456800369,131968,131846,131841,25.9,27.6,26.2,13668,13650,13649,413.7,437.6,442.5,120.03,-120.03,0.28,120.32,-119.76,0
6533,1.33297504798178e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.5,0.5,120,-120,0,120,-120,0
6534,0.0004231743498595,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6534,0.0139768317684282,129170,130753,132226,0,45.6,44.1,13425,13456,13722,412.4,427.6,442.2,118.35,-121.17,-0.01,118.6,-120.59,1
6535,0.00103891674242628,131913,131765,131770,27.3,29.2,27.5,13660,13638,13639,434.3,463.6,467.2,120.04,-120.04,0.29,120.34,-119.76,0
6535,1.35155936743252e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6536,0.00042083074789923,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6536,0.0146928799367949,128987,130616,132178,0,48.2,46.2,13406,13434,13716,432.8,452.4,466.8,118.26,-121.25,-0.01,118.53,-120.64,1
6537,0.000818411744837342,132063,131950,131947,23.9,25.4,24.1,13681,13665,13665,380.1,402.4,406.6,120.03,-120.03,0.26,120.3,-119.78,0
6537,1.34099281573862e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.5,0.5,0.5,120,-120,0,120,-120,0
6538,0.000424308357543536,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.5,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6538,0.0128975991783189,129485,130939,132306,0,42.1,40.6,13458,13486,13732,379,393.8,406.3,118.48,-121.08,-0.01,118.71,-120.55,1
6539,0.00102981592224657,132026,131882,131881,24.9,26.9,25.2,13676,13655,13655,395.5,423.9,428.6,120.04,-120.04,0.27,120.32,-119.78,0
6539,1.35090304918056e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6540,0.000420741032744849,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6540,0.0133644016291827,129362,130828,132261,0,44.3,42.2,13445,13468,13727,394.3,414.6,428.3,118.42,-121.14,-0.01,118.66,-120.59,1
6541,0.000165984951618834,131904,131880,131903,26.4,26.5,26.2,13658,13655,13658,425.6,430.6,426.1,119.99,-120.01,0.28,120.27,-119.74,0
6541,1.25984403609617e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.5,0.5,0.5,120,-120,0,120,-120,0
6542,0.000424800671619785,133027,133091,133131,0,1.3,1.3,13826,13829,13836,0.5,0.5,0.5,119.95,-120.03,-0.01,119.95,-120.02,1
6542,0.0148784944206633,128958,130771,132268,0,44.9,45.2,13403,13458,13728,423.7,420.4,426,118.3,-121.14,-0.01,118.52,-120.55,1
6543,0.000165487863145045,131993,131971,131996,24.6,24.6,24.3,13671,13668,13672,394.7,399.5,394.5,119.99,-120.01,0.26,120.25,-119.76,0
6543,1.26070953433454e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6544,0.000423783280544278,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6544,0.0138717848432722,129253,130936,132338,0,41.8,42.1,13434,13484,13737,393.1,390.6,394.5,118.42,-121.06,-0.01,118.62,-120.51,1
6545,0.000703776046266454,131791,131680,131713,29.5,30.6,29.3,13642,13626,13631,471.1,493.7,489.9,120.01,-120.04,0.32,120.33,-119.73,0
6545,1.33730771020415e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13834,0.4,0.4,0.4,120,-120,0,120,-120,0
6546,0.000421630073380695,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.95,-120.03,-0.01,119.95,-120.02,1
6546,0.016271358825986,128585,130445,132137,0,51.1,50,13365,13407,13712,469,480.7,489.6,118.1,-121.32,-0.01,118.38,-120.67,1
6547,0.000746964300404953,131939,131821,131857,26.5,27.7,26.3,13664,13647,13652,420.9,445,440.8,120.01,-120.04,0.28,120.3,-119.77,0
6547,1.33384960659586e-05,133124,133123,133123,0.7,0.7,0.7,13835,13834,13835,0.4,0.4,0.4,120,-120,0,120,-120,0
6548,0.000421166022996726,133028,133091,133131,0,1.3,1.3,13826,13829,13836,0.4,0.4,0.4,119.96,-120.03,-0.01,119.95,-120.02,1
6548,0.0146189313592809,129074,130704,132249,0,46.3,44.8,13415,13448,13726,419.3,434.5,440.5,118.29,-121.21,-0.01,118.54,-120.62,1
6549,0.00260443289443346,131978,131583,131650,28.2,32.7,28.1,13669,13612,13621,429.7,510.8,508.8,120.07,-120.12,0.32,120.41,-119.84,0
