No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
2,0.000409066984080842,133031.622200074,133093.5020769,133132.070160275,0.00016086474120366,1.23193313395294,1.23268522541486,7985.95535991082,7982.02092292095,7987.45468076095,0.000209668372831851,0.000209567159334654,0.000209707283669575,119.956487441307,-120.026569314802,29.9992449280074,149.970668168782,-90.0400065605595,1
2,0.000409066984080842,133032,133094,133132,0,1.2,1.2,7986,7982,7987,0,0,0,119.96,-120.03,30,149.97,-90.04,1
2,0.000409201664140218,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
2,0.000409201664140218,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
2,0.000409281666876169,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
2,0.000409281666876169,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
2,0.000631022106728095,132959,133058,133115,0,1.9,2,13819,13824,13834,7.5,6.5,7.5,119.93,-120.04,-0.01,119.93,-120.02,1
2,0.000631022106728095,132959,133058,133115,0,1.9,2,13819,13824,13834,7.5,6.5,7.5,119.93,-120.04,-0.01,119.93,-120.02,1
3,1.25121146469821e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
3,1.25121146469821e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
3,1.25310666041305e-05,133125.267804449,133123.962823285,133124.075122649,0.711752259645145,0.711745530271719,0.711832539448865,7987.49415123831,7987.48748229321,7987.41618332178,8.95833928784501e-05,8.95842433039302e-05,8.95842393826983e-05,120.000535923966,-120.000705076862,29.9993520334261,150.00059170881,-90.0001131315627,0
3,1.2534583273217e-05,133125,133124,133124,0.7,0.7,0.7,11400,11400,2920,0,0,0,120,-120,52.64,127.36,-90,0
3,1.2534583273217e-05,133125.267581426,133123.962462493,133124.073906113,0.711759576794749,0.711763722507247,0.711852683821205,11400.0970233824,11400.0865341161,2919.56868115236,0.000299304704350725,0.000299308108308166,0.000475818914616258,120.000536383503,-120.000704898458,52.6422675964319,127.357590547754,-90.0001124339051,0
3,1.25366131825209e-05,133125.267581426,133123.96238312,133124.073333924,0.711759576794227,0.711769985810389,0.71186007092684,13833.7843746037,13833.7730184313,1.0102412556582,0.000363200705653592,0.000363204416146784,0.000629071332209116,120.000536648145,-120.000704795724,59.9972037450579,120.00262827492,-90.0001120882509,0
3,1.25426118924849e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
3,1.25426118924849e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
3,2.48702203437038e-05,133109,133106,133106,1.1,1.1,1.1,13832,13832,13832,5.9,6.2,6.4,120,-120,0,120.01,-120,0
3,2.48702203437038e-05,133109,133106,133106,1.1,1.1,1.1,13832,13832,13832,5.9,6.2,6.4,120,-120,0,120.01,-120,0
4,0.00040905679648125,133031.622198478,133093.501859547,133132.068594628,0.000160864743144733,1.23194124899622,1.23269868443094,13835.2069498473,13828.3946194301,1.01024612676817,0.000363236634790692,0.000363061386722705,0.000629068795843096,119.956488166332,-120.026569032874,59.9805081269744,119.95611474638,-90.0400056234372,1
4,0.000409060518676921,133031.622198564,133093.501938976,133132.06916678,0.00016086474120366,1.23193828338806,1.23269376592463,11400.7922609927,11394.5390236418,2919.58275894811,0.000299322427076173,0.000299161561735093,0.000475816996222704,119.956487901585,-120.026569135695,52.6311871344456,127.313298881034,-90.0400059678206,1
4,0.000409060518676921,133032,133094,133132,0,1.2,1.2,11401,11395,2920,0,0,0,119.96,-120.03,52.63,127.31,-90.04,1
4,0.000409062782423849,133031.622954822,133093.502653356,133132.07016634,0.000160863097106322,1.23192047759095,1.23267255215461,7985.95537047314,7982.02099479762,7987.4546956109,8.95663091752362e-05,8.95238318229644e-05,8.95835817442781e-05,119.956488007628,-120.026568850313,29.9992449984026,149.970668351668,-90.0400060824684,1
4,0.000409246721864873,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
4,0.000409246721864873,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
4,0.000409304886400066,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
4,0.000409304886400066,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
4,0.000596753829992654,132977,133060,133120,0,1.9,1.8,13821,13824,13835,5.9,6.1,6.4,119.93,-120.04,-0.01,119.94,-120.03,1
4,0.000596753829992654,132977,133060,133120,0,1.9,1.8,13821,13824,13835,5.9,6.1,6.4,119.93,-120.04,-0.01,119.94,-120.03,1
5,0.000124859997564399,133100,133106,133086,1.2,1.3,1.4,13831,13832,13829,9.8,7.6,11.9,120.01,-119.99,0,120.02,-119.99,0
5,0.000124859997564399,133100,133106,133086,1.2,1.3,1.4,13831,13832,13829,9.8,7.6,11.9,120.01,-119.99,0,120.02,-119.99,0
5,1.25310757346726e-05,133125.267476318,133123.962495165,133124.074794515,0.711755237967046,0.71174850878893,0.711835517982976,7987.49412364389,7987.48745382811,7987.4161564849,0.00015517864774604,0.000155179643556111,0.000155180337254816,120.000535923979,-120.000705076849,29.9993520221768,150.000591708985,-90.0001131346645,0
5,1.25357652440045e-05,133125.267364045,133123.961034534,133124.074899649,0.711776717277723,0.7117730614471,0.711839857670544,13833.9080473135,1.01025027375268,13833.7728117271,0.000363203762669453,0.000629076618225314,0.000363204410742202,120.000535480938,-120.000705800983,0.00209261815323458,150.000592021633,-60.0015572856319,0
5,1.25362873225284e-05,133125,133124,133124,0.7,0.7,0.7,13418,13418,483,0,0,0,120,-120,58.97,121.03,-90,0
5,1.25362873225284e-05,133125.267581426,133123.962396239,133124.073428494,0.711759576795043,0.711768950620339,0.711858849996402,13418.2140493472,13418.2028010016,483.384662495706,0.000352289982350068,0.000352293653412055,0.0006037420308427,120.000536604406,-120.000704812704,58.9671990813057,121.032636391162,-90.0001121472693,0
5,1.25432615023432e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
5,1.25432615023432e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
5,1.25821631443351e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
5,1.25821631443351e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0,0,0,120,-120,0,120,-120,0
6,0.000409057408502767,133031.622199168,133093.501872675,133132.068689192,0.000160864741850684,1.23194075884464,1.23269787151143,13419.5354839077,13412.7948876472,483.386993321348,0.000352323399981622,0.000352149997256202,0.000603739596696426,119.956488122289,-120.026569050155,58.9513247262216,120.986344684843,-90.0400056814844,1
6,0.000409057408502767,133032,133094,133132,0,1.2,1.2,13420,13413,483,0,0,0,119.96,-120.03,58.95,120.99,-90.04,1
6,0.000409064422993649,133031.621862753,133093.502238173,133132.069739018,0.000160863777134453,1.23192562831629,1.23267770580279,7985.95532013356,7982.02093833084,7987.45466297647,0.000155148619235933,0.00015507539376387,0.000155179246820324,119.956487942606,-120.026568776392,29.9992451312277,149.970668190995,-90.0400060554302,1
6,0.000409080828881271,133031.621437372,133093.499611322,133132.070909453,0.000160868546309003,1.23197622112338,1.23269334277467,13825.7975110109,1.0095616294559,13828.3950545595,0.000362993986022627,0.000628648450053878,0.000363061397768636,119.956485461639,-120.026571462458,-0.00461951532679805,149.970459741887,-60.04807307131,1
6,0.000409108297468905,133032,133093,133132,0,1.2,1.2,13827,13829,13836,0,0,0,119.96,-120.03,-0.01,119.95,-120.02,1
