No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
7820,0.0367836937355715,119604,128603,128447,0,89.1,145.5,12431,13102,13189,1389.1,847.1,1439.8,117.38,-120.47,-0.01,117.86,-118.58,1
7821,0.000618180090964617,130951,130982,131049,45.5,44.2,44.5,13522,13526,13536,742,738.2,721.6,119.96,-120.01,0.48,120.43,-119.53,0
7822,0.0259368191677799,125835,129140,131587,0,74.7,77.6,13079,13197,13642,735.5,707.9,721.7,117.08,-121.89,-0.01,117.44,-120.86,1
7823,0.000831167417697748,130940,130980,131071,45.7,44,44.3,13520,13526,13539,743.6,738.7,716.3,119.94,-120.01,0.49,120.41,-119.53,0
7824,0.0262502358775892,125799,129132,131610,0,74.7,77.8,13075,13196,13646,736.8,708.2,716.4,117.05,-121.9,-0.01,117.41,-120.87,1
7825,0.000950309525482492,131332,131476,131453,36.7,34.9,36.7,13576,13597,13594,609,580,580.6,119.98,-119.96,0.38,120.35,-119.56,0
7826,0.0210345162040505,127080,129975,131875,0,59.4,64,13208,13329,13677,604.6,560.5,581.1,117.67,-121.44,-0.01,117.95,-120.59,1
7827,0.000856967803524558,130954,131088,131051,44.4,43,44.6,13522,13541,13536,738.6,711,715,119.99,-119.96,0.47,120.44,-119.47,0
7828,0.025140574111773,125844,129293,131545,0,72.1,77.3,13080,13221,13635,732.2,682.2,715.6,117.2,-121.75,-0.01,117.54,-120.72,1
7829,0.00326697492042447,129984,130418,129950,60.7,60.2,66.1,13382,13446,13378,1064,961.8,1055.7,120.13,-119.77,0.62,120.8,-119.05,0
7830,0.0328054499940189,122717,128056,130452,0,95.5,110.5,12755,13022,13486,1051.5,908.5,1058.1,116.43,-122.05,-0.01,116.91,-120.58,1
7831,0.00246390873591357,131122,131488,131167,38.7,37.3,42.2,13546,13599,13553,679.9,596.7,659.3,120.07,-119.83,0.39,120.48,-119.37,0
7832,0.0214170982007023,126396,129926,131530,0,60.9,71.3,13137,13320,13626,674.9,575.2,660.6,117.71,-121.28,-0.01,118,-120.34,1
7833,0.0104475442285535,130571,131862,130285,41.3,41.9,58.9,13465,13654,13426,879.9,554,889.1,120.47,-119.27,0.33,120.99,-118.64,0
7834,0.0231569631920523,124616,130306,130330,0,56.5,91.9,12952,13376,13446,872.7,532.3,891.9,118.3,-120.33,-0.01,118.59,-119.15,1
7835,0.0106398110980918,129644,130933,129336,59.3,60.2,77.7,13332,13521,13291,1185.6,863.6,1198.3,120.49,-119.26,0.54,121.21,-118.42,0
7836,0.0316159714781457,121636,128700,129519,0,85.9,122.9,12642,13120,13344,1171.8,815.8,1203.3,117.19,-121.04,-0.01,117.64,-119.43,1
7837,0.0169710632287656,129239,131200,128622,61.4,64.6,90.5,13273,13561,13189,1340.7,832.2,1381.9,120.82,-118.83,0.49,121.63,-117.85,0
7838,0.0343595052413464,120357,128981,128563,0,82.7,138.7,12509,13162,13202,1323.7,784.9,1387.5,117.7,-120.29,-0.01,118.16,-118.49,1
7839,0.0177174162288456,129606,131696,129008,53.6,56.3,83.3,13325,13632,13244,1222.3,678.2,1255.5,120.84,-118.77,0.39,121.55,-117.87,0
7840,0.0320936963571174,121524,129787,128851,0,68.1,126.7,12631,13289,13235,1208,644.3,1259.4,118.27,-119.84,-0.01,118.65,-118.23,1
7841,0.00506901460555082,131020,131168,131793,44,35.1,35.6,13531,13552,13643,681.2,673.9,519.7,119.65,-120.12,0.47,119.97,-119.71,0
7842,0.0296134727451427,126060,129381,132315,0,68.4,71,13102,13233,13746,671.6,646.8,519.8,116.85,-121.95,-0.01,117.07,-121,1
7843,0.0049327213089593,130470,130619,131220,55.1,46.3,46.8,13453,13473,13561,866.2,858,710.7,119.66,-120.12,0.59,120.11,-119.58,0
7844,0.0355079865379063,124277,128430,131826,0,85.8,89.7,12917,13081,13683,852.3,814.8,710.8,116.18,-122.38,-0.01,116.48,-121.18,1
7845,0.00313513943159093,131146,131311,131645,40.9,34.8,36.1,13549,13573,13622,650.7,630.8,546,119.79,-120.04,0.43,120.13,-119.63,0
7846,0.0259208302842791,126472,129647,132119,0,64.2,68.1,13145,13276,13715,643.6,607,546.3,117.21,-121.72,-0.01,117.45,-120.81,1
7847,0.00256666554096813,130524,130663,130931,53.5,48.5,49.6,13460,13480,13519,865.3,847.9,780.4,119.83,-120.03,0.57,120.33,-119.48,0
7848,0.0322747082468559,124452,128531,131511,0,85,90,12935,13099,13637,854.2,806.5,780.7,116.46,-122.21,-0.01,116.82,-121.01,1
7849,0.00285974013074025,129750,130139,130152,66.5,61,65.6,13349,13405,13408,1116.2,1042.2,1025.1,119.89,-119.9,0.7,120.55,-119.17,0
7850,0.0389318728578771,121970,127570,130728,0,102.8,115.3,12677,12944,13531,1098.4,978.6,1027,115.8,-122.47,-0.01,116.24,-120.92,1
7851,0.00294394682070413,129682,130150,129955,66.9,62.6,68.6,13339,13407,13380,1144.2,1046.9,1076.1,119.98,-119.83,0.7,120.66,-119.07,0
7852,0.0381718256772329,121755,127575,130498,0,103.2,118.3,12655,12945,13498,1126.8,982.6,1078.6,115.9,-122.36,-0.01,116.36,-120.78,1
7853,0.0111955939829052,129259,130533,128825,66.7,69.2,86.7,13277,13465,13218,1320.1,996.4,1355,120.55,-119.23,0.62,121.38,-118.29,0
7854,0.0346087866786878,120415,128040,129048,0,98.3,136.6,12515,13016,13282,1303.4,935.2,1361,116.81,-121.29,-0.01,117.34,-119.49,1
7855,0.00875865384042507,129619,130629,129292,62.2,63.9,77.9,13329,13478,13284,1196.8,942.9,1222.4,120.42,-119.4,0.59,121.18,-118.56,0
7856,0.0322065416946882,121557,128268,129588,0,93.5,124.1,12634,13053,13358,1183,888.9,1227.2,116.85,-121.43,-0.01,117.35,-119.79,1
7857,0.0167606743675068,128733,130396,127788,72.8,80.7,103.7,13201,13447,13070,1528.2,1079.9,1635.1,120.91,-118.9,0.64,121.91,-117.78,0
7858,0.0366424136950202,118761,127746,127870,0,106,157.9,12343,12969,13114,1508.3,1009.3,1642.6,117.01,-120.91,-0.01,117.64,-118.84,1
7859,0.0162795656641242,130076,131795,129242,46.9,53.6,76.1,13393,13646,13277,1090.5,624.2,1173.2,120.86,-118.91,0.35,121.54,-118.1,0
7860,0.0264423498783265,123026,130092,129149,0,63.3,113.5,12787,13340,13275,1081.2,598,1176.6,118.57,-119.89,-0.01,118.96,-118.47,1
7861,0.0160704915696489,128962,129431,131373,84.9,58.1,59.5,13238,13300,13586,1284.5,1266.4,770.9,118.88,-120.38,0.93,119.34,-119.64,0
7862,0.0626141623753363,119491,126262,132106,0,122.7,129.7,12419,12730,13745,1237.3,1169.9,770.9,113.57,-123.78,-0.01,113.75,-122.04,1
7863,0.00950166846386158,129279,129556,130705,78.8,62.3,63.1,13283,13320,13489,1224.8,1212.5,927.3,119.34,-120.22,0.86,119.92,-119.47,0
7864,0.0527880356987901,120483,126572,131430,0,118.1,125,12522,12783,13643,1191.9,1125.8,927.3,114.41,-123.39,-0.01,114.75,-121.71,1
7865,0.0107947427740919,129147,129472,130769,81.3,62.6,63.7,13264,13307,13498,1258,1242.5,918.2,119.25,-120.25,0.89,119.83,-119.49,0
7866,0.0554044539845248,120070,126411,131498,0,120.7,128.1,12480,12757,13655,1221.4,1150.9,918.2,114.17,-123.5,-0.01,114.49,-121.78,1
7867,0.0116017443454995,130269,130547,132007,59.6,40.5,40.7,13424,13461,13675,889.8,886.8,518.6,119.19,-120.3,0.64,119.5,-119.79,0
7868,0.0445659077181885,123631,128203,132650,0,88.4,91.2,12850,13042,13805,867,839.5,518.4,115.41,-122.76,-0.01,115.55,-121.55,1
7869,0.0084586855723045,129192,129350,130426,81.3,67.1,66.7,13270,13290,13448,1265.2,1271.9,1010.9,119.41,-120.24,0.89,120.05,-119.45,0
7870,0.0530364849238121,120211,126279,131190,0,123.6,129.2,12494,12738,13612,1232.2,1178.4,1010.2,114.3,-123.53,-0.01,114.71,-121.79,1
7871,0.0147740301243109,128781,129213,130992,88.5,63.5,64.8,13212,13269,13531,1350.7,1333.4,883,118.97,-120.35,0.97,119.51,-119.55,0
7872,0.0632023834129378,118928,125933,131739,0,128.6,136.5,12361,12678,13695,1302.3,1227,882.9,113.45,-123.88,-0.01,113.69,-122.04,1
7873,0.00382733077066988,129929,130480,130437,61.7,54.4,61.1,13374,13454,13449,1047.3,940.8,931.2,119.88,-119.85,0.63,120.46,-119.16,0
7874,0.0368519519659283,122541,128090,130937,0,93.3,108.3,12736,13025,13557,1030.9,886.9,933.7,116.13,-122.16,-0.01,116.5,-120.71,1
7875,0.00169633408284505,129492,129454,129243,74.5,77.5,77.5,13313,13308,13277,1246.7,1246.4,1295.8,120.12,-119.96,0.81,120.98,-119.13,0
7876,0.0393154033836958,121155,126597,129961,0,122.1,129,12592,12794,13430,1230.3,1164.4,1295.9,115.47,-122.94,-0.01,116.12,-121.21,1
7877,0.0135803896865896,128560,128203,126572,91.8,116.3,115.9,13180,13135,12894,1659.8,1669.2,2041,120.93,-119.68,1,122.32,-118.51,0
7878,0.0367142345490684,118239,124791,127329,0,161.4,172.4,12289,12518,13065,1647.3,1543.2,2041.8,115.29,-123.23,-0.01,116.44,-120.93,1
7879,0.0200471627596972,129233,128708,126288,78.4,115.3,114.7,13276,13210,12851,1519.7,1533,2069.6,121.37,-119.52,0.85,122.79,-118.44,0
7880,0.0232335006889191,120339,125710,127003,0,150.7,159.1,12508,12669,13007,1519.7,1439.8,2070.5,116.54,-122.57,-0.01,117.78,-120.5,1
7881,0.0174465327087545,128820,129316,131430,87.8,59,60.3,13217,13284,13594,1322.9,1306.3,765.4,118.79,-120.42,0.96,119.24,-119.66,0
7882,0.0655150454918635,119047,126059,132173,0,126.2,133.2,12373,12697,13757,1271.1,1203.7,765.2,113.3,-123.93,-0.01,113.45,-122.15,1
7883,0.0243768064556363,127472,128227,131103,113.5,73.7,76.2,13026,13126,13550,1708.8,1678.2,930.7,118.31,-120.56,1.26,118.85,-119.59,0
7884,0.0858361959197129,114923,124259,131847,0,157.9,169.1,11945,12407,13728,1616.8,1509,930.5,111.3,-124.98,-0.01,111.39,-122.71,1
7885,0.026771794166918,128160,128873,132137,101.1,59.8,60.7,13124,13218,13697,1487.3,1476.4,620.4,118.13,-120.67,1.12,118.46,-119.87,0
7886,0.081753209882239,117012,125241,132902,0,141.1,147.3,12162,12563,13871,1406.7,1347.4,619.7,111.82,-124.69,-0.01,111.76,-122.75,1
7887,0.0221214058286912,128423,128981,131700,96.2,61.1,61.6,13161,13235,13634,1428.1,1422,721.9,118.45,-120.56,1.06,118.87,-119.77,0
7888,0.0745496685804547,117821,125479,132475,0,136.3,142.5,12246,12603,13806,1360.9,1301.5,721.1,112.44,-124.41,-0.01,112.5,-122.52,1
7889,0.0223223111025776,128234,128552,131434,102.1,68.3,65.2,13135,13173,13596,1500.8,1538,816.7,118.43,-120.67,1.15,118.91,-119.83,0
