No,negative_sequence,V_A,V_B,V_C,I_A,I_B,I_C,V_a,V_b,V_c,I_a,I_b,I_c,phase_B,phase_C,phase_a,phase_b,phase_c,faulted
2732,0.000410737245846915,133030,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
2733,1.1571258828285e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,0,120,-120,0
2734,0.000409938916936842,133030,133093,133131,0,1.2,1.2,13827,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
2735,1.19141868820466e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0,0.1,120,-120,0,120,-120,0
2736,0.000409623316858795,133030,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
2737,1.19038019237951e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,0,120,-120,0
2738,0.000409647936686667,133030,133093,133131,0,1.2,1.3,13826,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
2739,1.18994178135922e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.2,0,0.2,120,-120,0,120,-120,0
2740,0.000409624039526674,133030,133093,133131,0,1.2,1.2,13827,13829,13836,0.2,0,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
2741,1.16641019659793e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
2742,0.000413910946154856,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
2743,1.15300099062975e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
2744,0.000414855170067619,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
2745,1.18580984759378e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
2746,0.000414083402910724,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
2747,1.15246727468158e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
2748,0.000414733218257585,133030,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
2749,1.24708945526786e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0.1,120,-120,0,120,-120,0
2750,0.000413447891066874,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
2751,1.25656846032859e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0.1,120,-120,0,120,-120,0
2752,0.000413286034068695,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0.1,119.96,-120.03,-0.01,119.95,-120.02,1
2753,1.42972227978562e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0.2,120,-120,0,120,-120,0
2754,0.000409769451805966,133031,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
2755,1.45187019808651e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0.2,120,-120,0,120,-120,0
2756,0.000409665991906939,133031,133093,133131,0,1.2,1.2,13827,13829,13836,0.1,0.1,0.2,119.96,-120.03,-0.01,119.95,-120.02,1
2757,1.55116261914101e-05,133125,133124,133123,0.7,0.7,0.7,13835,13835,13835,0.1,0.2,0.3,120,-120,0,120,-120,0
2758,0.000408562584866908,133031,133093,133131,0,1.2,1.2,13827,13829,13836,0.1,0.2,0.3,119.96,-120.03,-0.01,119.95,-120.02,1
2759,1.65168604072267e-05,133125,133123,133123,0.7,0.7,0.7,13835,13835,13835,0.2,0.2,0.3,120,-120,0,120,-120,0
2760,0.000408454834734045,133031,133093,133131,0,1.3,1.2,13827,13829,13836,0.2,0.2,0.3,119.96,-120.03,-0.01,119.95,-120.02,1
2761,1.11301742320468e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
2762,0.000417978838033861,133030,133093,133132,0,1.2,1.2,13827,13829,13836,0.1,0.1,0,119.96,-120.03,-0.01,119.95,-120.02,1
2763,1.11464055242707e-05,133125,133124,133124,0.7,0.7,0.7,13835,13835,13835,0.1,0.1,0,120,-120,0,120,-120,0
